date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:45	54666/54666	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:45%20GMT	https://salonspaw.com/team/karli/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/karli/index.html	(from https://salonspaw.com/team/)
18:05:46	91845/91845	---M--	200	added ('OK')	image/jpeg	etag:%22cdde187a0836d48b%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Karli-scaled.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/12/Copy-of-Karli-scalede9e2.jpg	(from https://salonspaw.com/team/)
18:05:47	54606/54606	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:46%20GMT	https://salonspaw.com/team/zoey/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/zoey/index.html	(from https://salonspaw.com/team/)
18:05:49	149641/149641	---M--	200	added ('OK')	image/jpeg	etag:%22d8d879c2ea7b0104%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Zoey-3.19.jpg?fit=683%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-Zoey-3.19e9e2.jpg	(from https://salonspaw.com/team/)
18:05:49	54412/54412	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:49%20GMT	https://salonspaw.com/team/lavinia/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/lavinia/index.html	(from https://salonspaw.com/team/)
18:05:50	178571/178571	---M--	200	added ('OK')	image/jpeg	etag:%22a35c366f2a974e8f%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Lavinia-1.jpg?fit=730%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Lavinia-1d0d5.jpg	(from https://salonspaw.com/team/)
18:05:51	223102/223102	---M--	200	added ('OK')	image/jpeg	etag:%22cde072fdc60c2f63%22	https://i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/DSC_8822-Edit.jpg?fit=731%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/DSC_8822-Edit3866.jpg	(from https://salonspaw.com/team/)
18:05:51	54534/54534	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:51%20GMT	https://salonspaw.com/team/jenna/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/jenna/index.html	(from https://salonspaw.com/team/)
18:05:52	54773/54773	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202020%2012:35:52%20GMT	https://salonspaw.com/team/joey/	C:/My%20Web%20Sites/neer2/salonspaw.com/team/joey/index.html	(from https://salonspaw.com/team/)
18:05:52	105411/105411	---M--	200	added ('OK')	image/jpeg	etag:%22ce91f38fffb350b5%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Joey.jpg?fit=730%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Joeyd0d5.jpg	(from https://salonspaw.com/team/)
